Dataset, Method,mae,max-fmeasure,mean-fmeasure,adp-fmeasure,maxEmeasure,mean-Emeasure,adp-Emeasure,S-measure_alpha05,Fbw-measure
Complexbackground, DANet, 0.0434, 0.8906, 0.8653, 0.8480, 0.9381, 0.9240, 0.9195, 0.9009, 0.8264 
Complexbackground, DFM-Net, 0.0426, 0.8934, 0.8665, 0.8613, 0.9419, 0.9295, 0.9177, 0.9010, 0.8229 
Complexbackground, JL-DCF, 0.0385, 0.9033, 0.8827, 0.8778, 0.9461, 0.9363, 0.9256, 0.9082, 0.8478 
Complexbackground, UCNet, 0.0398, 0.8885, 0.8768, 0.8777, 0.9377, 0.9337, 0.9250, 0.8950, 0.8434 
Illumination, DANet, 0.0521, 0.8864, 0.8611, 0.8585, 0.9252, 0.9133, 0.9181, 0.8830, 0.8239 
Illumination, DFM-Net, 0.0507, 0.8873, 0.8711, 0.8720, 0.9259, 0.9146, 0.9197, 0.8831, 0.8406 
Illumination, JL-DCF, 0.0500, 0.8886, 0.8750, 0.8743, 0.9246, 0.9171, 0.9193, 0.8793, 0.8483 
Illumination, UCNet, 0.0518, 0.8722, 0.8572, 0.8584, 0.9167, 0.9129, 0.9121, 0.8690, 0.8215 
Multiobjects, DANet, 0.0512, 0.8882, 0.8630, 0.8594, 0.9268, 0.9150, 0.9201, 0.8841, 0.8258 
Multiobjects, DFM-Net, 0.0499, 0.8883, 0.8718, 0.8721, 0.9266, 0.9152, 0.9215, 0.8845, 0.8413 
Multiobjects, JL-DCF, 0.0492, 0.8903, 0.8767, 0.8755, 0.9264, 0.9186, 0.9212, 0.8810, 0.8501 
Multiobjects, UCNet, 0.0503, 0.8767, 0.8617, 0.8627, 0.9206, 0.9168, 0.9158, 0.8721, 0.8267 
Objectscale, DANet, 0.0483, 0.8861, 0.8616, 0.8518, 0.9294, 0.9164, 0.9169, 0.8910, 0.8236 
Objectscale, DFM-Net, 0.0470, 0.8895, 0.8681, 0.8670, 0.9333, 0.9225, 0.9180, 0.8922, 0.8298 
Objectscale, JL-DCF, 0.0445, 0.8962, 0.8787, 0.8767, 0.9350, 0.9265, 0.9213, 0.8942, 0.8472 
Objectscale, UCNet, 0.0454, 0.8817, 0.8689, 0.8706, 0.9284, 0.9245, 0.9182, 0.8833, 0.8347 
