Dataset, Method, mae, max-feature, mean-fmeasure, adp-fmeasure, max-Emeasure, mean-Emeasure, adp-Emeasure, S-measure_alpha05, Fbw-measure
High, DANet, 0.0480 , 0.8878 , 0.8617 , 0.8604 , 0.9292 , 0.9173 , 0.9236 , 0.8880 , 0.8242 
High, DFMNet, 0.0467 , 0.8904 , 0.8733 , 0.8738 , 0.9314 , 0.9204 , 0.9280 , 0.8878 , 0.8426 
High, JL-DCF, 0.0476 , 0.8879 , 0.8741 , 0.8733 , 0.9271 , 0.9198 , 0.9245 , 0.8808 , 0.8468 
High, UCNet, 0.0473 , 0.8778 , 0.8605 , 0.8609 , 0.9233 , 0.9193 , 0.9205 , 0.8757 , 0.8241 
Low, DANet, 0.0712 , 0.8807 , 0.8586 , 0.8498 , 0.9080 , 0.8943 , 0.8918 , 0.8590 , 0.8225 
Low, DFMNet, 0.0700 , 0.8732 , 0.8608 , 0.8636 , 0.9017 , 0.8871 , 0.8804 , 0.8608 , 0.8311 
Low, JL-DCF, 0.0613 , 0.8921 , 0.8790 , 0.8792 , 0.9132 , 0.9043 , 0.8948 , 0.8720 , 0.8557 
Low, UCNet, 0.0729 , 0.8490 , 0.8422 , 0.8477 , 0.8892 , 0.8838 , 0.8727 , 0.8383 , 0.8103 
Multi, DANet, 0.0742 , 0.8763 , 0.8565 , 0.8535 , 0.9052 , 0.8904 , 0.8988 , 0.8405 , 0.8274 
Multi, DFMNet, 0.0788 , 0.8657 , 0.8521 , 0.8608 , 0.8987 , 0.8711 , 0.8828 , 0.8309 , 0.8321 
Multi, JL-DCF, 0.0808 , 0.8643 , 0.8547 , 0.8617 , 0.8976 , 0.8717 , 0.8814 , 0.8182 , 0.8366 
Multi, UCNet, 0.0726 , 0.8657 , 0.8590 , 0.8627 , 0.9012 , 0.8900 , 0.8885 , 0.8291 , 0.8334 
Single, DANet, 0.0364 , 0.8975 , 0.8674 , 0.8635 , 0.9464 , 0.9309 , 0.9339 , 0.9121 , 0.8252 
Single, DFMNet, 0.0314 , 0.9065 , 0.8846 , 0.8796 , 0.9534 , 0.9434 , 0.9464 , 0.9188 , 0.8475 
